Feature,Importance
Compression_Force_kN_mean,0.23569782
Moisture_Content,0.1649077
Avg_Compression,0.11343548
Motor_Speed_RPM_max,0.08019019
Compression_Squared,0.061619002
Drying_Efficiency,0.059066385
Binder_Amount,0.040163435
Machine_Speed,0.024118712
Lubricant_Speed_Interaction,0.018498601
Motor_Speed_RPM_std,0.016918486
Moisture_Temp_Interaction,0.015712375
Compression_Force_kN_max,0.0146637
Total_Process_Time,0.012447131
Compression_Force_kN_min,0.008323024
Drying_Time,0.0069519817
Lubricant_Conc,0.006849471
Mechanical_Work,0.0056022983
Vibration_mm_s_range,0.0035377592
Motor_Speed_RPM_range,0.0034400616
Binder_Compression_Interaction,0.0027258815
Vibration_mm_s_std,0.0025537743
Motor_Speed_RPM_min,0.0025326826
Motor_Speed_RPM_cv,0.0025227729
Drying_Temp,0.002464975
Temperature_C_range,0.0022070582
Temperature_C_cv,0.0020999813
Thermal_Stability,0.0020672064
Motor_Speed_RPM_mean,0.0019480363
Granulation_Time,0.0018870896
Temperature_C_std,0.0018442982
Vibration_Peak,0.0018305826
Temperature_C_max,0.0018011351
Temperature_C_min,0.0017659949
Compression_Efficiency,0.0016498427
Time_Energy_Product,0.0015912141
Total_Energy_kWh,0.0015364649
Vibration_mm_s_max,0.0015226548
Compression_Pressure_Ratio,0.0014937092
Energy_Per_Unit,0.001478272
Speed_Squared,0.0014775352
Vibration_Stability,0.0014513661
Heat_Input,0.0014371196
Temp_Rate_Change,0.0014224607
Vibration_mm_s_cv,0.0013878836
Pressure_Bar_min,0.0013436236
Speed_Power_Ratio,0.001342624
Flow_Rate_LPM_max,0.0013426156
Pressure_Bar_max,0.0013368231
Flow_Efficiency,0.0013348827
Compression_Energy,0.0013325308
Avg_Power,0.0013310286
Stability_Index,0.0013290263
Speed_Flow_Ratio,0.0013267933
Vibration_RMS,0.0013185777
Pressure_Bar_range,0.0013142326
Thermal_Efficiency,0.0013122796
Power_Consumption_kW_range,0.0013075053
Vibration_mm_s_min,0.0013063786
Pressure_Temp_Product,0.0013060025
Vibration_Power_Ratio,0.0012991289
Temp_Humidity_Ratio,0.0012988572
Pressure_Bar_cv,0.0012955555
Power_Consumption_kW_cv,0.0012951518
Humidity_Percent_max,0.0012770788
Humidity_Percent_cv,0.0012695803
Compression_Force_kN_cv,0.0012676124
Compression_Consistency,0.0012673883
Specific_Power,0.001265552
Flow_Rate_LPM_std,0.001262484
Humidity_Percent_min,0.0012599122
Asset_Health_Index,0.0012502382
Power_Consumption_kW_max,0.0012493891
Humidity_Percent_std,0.0012389835
Flow_Rate_LPM_mean,0.0012374537
Flow_Rate_LPM_cv,0.0012370587
Pressure_Bar_mean,0.0012342841
Power_Consumption_kW_std,0.0012277322
Power_Consumption_kW_min,0.00121671
Vibration_mm_s_mean,0.001210079
Peak_Power,0.0012057176
Flow_Rate_LPM_min,0.0011962488
Humidity_Percent_range,0.0011824754
Compression_Force_kN_std,0.0011811292
Power_Consumption_kW_mean,0.0011626756
Flow_Rate_LPM_range,0.0011585363
Humidity_Percent_mean,0.0011526365
Temperature_C_mean,0.0011352064
Pressure_Bar_std,0.0011286095
Compression_Force_kN_range,0.0011276965
Temperature_Squared,0.0011091476
Power_Variability,0.0007980506
Power_Efficiency,0.0007668923
Power_Squared,0.000685828
Power_Load_Factor,0.00058770133
Energy_Intensity,0.0005326918
